      90.0000      60.0000
       1    0.0010000000      0.69913174
      1.42857      1.50000  2.06675e-07     0.901991      116.883
      1.50000      1.57143  1.25817e-07      1.13841      206.352
      1.57143      1.64286  4.54516e-08     0.611908      204.355
      1.64286      1.71429      0.00000      0.00000      90.0000
      1.71429      1.78571  1.38750e-08     0.412544      35.8711
      1.78571      1.85714  1.38750e-08     0.412544      35.8711
      1.85714      1.92857      0.00000      0.00000      0.00000
      1.92857      2.00000      0.00000      0.00000      0.00000
       4       2.0953952       2.7935270
    -0.500000    -0.428571   0.00890834     0.704915      64.1266
    -0.428571    -0.357143   0.00958688     0.712665      64.1854
    -0.357143    -0.285714    0.0105600     0.725392      64.1543
    -0.285714    -0.214286    0.0111318     0.724762      64.0774
    -0.214286    -0.142857    0.0113726     0.724926      63.9581
    -0.142857   -0.0714285    0.0113147     0.720325      63.9178
   -0.0714285      0.00000    0.0108708     0.722386      63.8901
      0.00000    0.0714285    0.0101835     0.716876      63.9357
    0.0714285     0.142857   0.00903450     0.701827      63.8899
     0.142857     0.214286   0.00760253     0.686689      63.8881
     0.214286     0.285714   0.00606799     0.666852      63.9084
     0.285714     0.357143   0.00446840     0.636590      63.9107
     0.357143     0.428571   0.00304140     0.593866      64.1829
     0.428571     0.500000   0.00191981     0.545383      64.3394
     0.500000     0.571429   0.00113829     0.484372      63.7705
     0.571429     0.642857  0.000659722     0.402197      63.6960
     0.642857     0.714286  0.000386952     0.354750      63.8982
     0.714286     0.785714  0.000216999     0.342255      63.8038
     0.785714     0.857143  0.000120352     0.305151      62.5098
     0.857143     0.928571  6.52418e-05     0.325404      63.0396
     0.928571      1.00000  3.70988e-05     0.310971      64.3479
      1.00000      1.07143  2.22806e-05     0.303648      64.0915
      1.07143      1.14286  1.21946e-05     0.350020      64.2714
      1.14286      1.21429  6.52485e-06     0.332684      151.022
      1.21429      1.28571  3.73931e-06     0.295649      154.007
      1.28571      1.35714  2.21629e-06     0.250895      49.5352
      1.35714      1.42857  1.23504e-06     0.394076      46.0402
