#energy        flux [photons cm-2 s-1 kev-1]    flux [photons cm-2 s-1 kev-1]                        
      2.98           6322.13889751077             0.0226794417519529                      
      2.99           6197.11917313314             0.0211247100651533                      
         3           6075.48604767891             0.0196768008466379                      
      3.01           5956.75148281603             0.0183282675630803                      
      3.02           31787.7641844496             0.0174571422721020                      
      3.03           13461.4759951777             0.0160228286642118                      
      3.04           5617.09874812507             0.0148130277167459                      
      3.05           5553.40375006228             0.0137983997194283                      
      3.06           5418.44943236845             0.0128531755764779                      
      3.07           5300.63659420914             0.0119728809668828                      
      3.08            5199.9557597917             0.0111529929057974                      
      3.09           5656.74847746292             0.0103893126610933                      
       3.1           5007.86103195976             0.0096779972370644                      
      3.11           4931.89924586947             0.0090154750214056                      
      3.12           4821.68686266036             0.0083983664770778                      
      3.13           5554.93883851603             0.0078235522466732                      
      3.14           79677.3441049607             0.0072881587742235                      
      3.15           4556.32164499065             0.0067894498233989                      
      3.16           4472.45225689639             0.0063249032862587                      
      3.17           4390.39893500525             0.0058922098011531                      
      3.18            4310.1122427865             0.0054891452673140                      
      3.19           4231.54440360642             0.0051136905123577                      
       3.2           4154.64926386997             0.0047639653164203                      
      3.21           4079.38222219624             0.0044381875222836                      
      3.22           4006.12336773199            0.00413471738998706                      
      3.23            4034.3085331101            0.00385202864000966                      
      3.24            3962.1572402369            0.00358868696665518                      
      3.25           3891.49356757782            0.00334338373410406                      
      3.26           3822.27958766859            0.00311486888611364                      
      3.27           3754.98216372258            0.00290198575080538                      
      3.28           3688.05452249981            0.00270368355327315                      
      3.29           3622.97324239028            0.00251894343863635                      
       3.3           3559.86205708007            0.00234684049321480                      
      3.31           3497.44448787813            0.00218652013591163                      
      3.32           3438.76414633115            0.00203716414942018                      
      3.33           3375.62072587203            0.00189802294774914                      
      3.34           3316.57563795824            0.00176839722705089                      
      3.35           3258.88479150477            0.00164763464961193                      
      3.36           3202.32320627046            0.00153513081806341                      
      3.37           3146.86408308463            0.00143032257779946                      
      3.38           3092.48012669358            0.00133267279001041                      
      3.39           3039.14871607781            0.00124170237545153                      
       3.4           2986.84404441836            0.00115694834506771                      
      3.41           2935.54234972635            0.00107798905741075                      
      3.42           2885.22045497084            0.00100442243312893                      
      3.43           2835.85576764559           0.000935882956682007                      
      3.44            2789.2886114535           0.000872028798982831                      
      3.45           2739.91080439282           0.000812536009276564                      
      3.46           2693.28845819184           0.000757106636696972                      
      3.47           2647.53914115887           0.000705462720443925                      
      3.48           2602.69106032814           0.000657345485905367                      
      3.49           2558.58175816671           0.000612516738185442                      
       3.5           2519.17428082229           0.000570747898503911                      
      3.51           2633.27494108379           0.000531828727458412                      
      3.52           2459.94285327885           0.000495569806100473                      
      3.53           2393.99731544271           0.000461783134965704                      
      3.54           2353.80107715939           0.000430305287780505                      
      3.55           2314.33788106731           0.000400973920442993                      
      3.56           2275.59236734967           0.000373644236437947                      
      3.57           2237.54955735029           0.000348180829167585                      
      3.58           2200.19488864416           0.000324454309170925                      
      3.59            2163.5141904112           0.000302346345392860                      
       3.6           2179.24548868839           0.000281746512198805                      
      3.61           2092.40710540268           0.000262551781157128                      
      3.62             2126.505036224           0.000244666085104278                      
      3.63           2064.89765842011           0.000227999428057373                      
      3.64           2081.08191708637           0.000212470948080782                      
      3.65           1956.81296551377           0.000198000943476937                      
      3.66           1924.47015611315           0.000184516572001782                      
      3.67           1892.69602117556           0.000171952957645106                      
      3.68           2269.11764700688           0.000160244483319210                      
      3.69           1830.80665663995           0.000149335313593714                      
       3.7           1801.75740245164           0.000139168849605216                      
      3.71           1771.05507085995           0.000129695595317087                      
      3.72           1741.95546715028           0.000120868405770661                      
      3.73           1713.36046708408           0.000112642438617583                      
      3.74           1685.26075834621           0.000104976837104877                      
      3.75           1657.64724268425          0.0000978334656595138                      
      3.76           1630.51105048294          0.0000911767395402201                      
      3.77           1603.84353047892          0.0000849734625772772                      
      3.78           1577.63625727568          0.0000791926709579675                      
      3.79           1552.00026348076          0.0000738054909838530                      
       3.8           1547.46845163818          0.0000687850043296476                      
      3.81           1501.69273984238          0.0000641067896896472                      
      3.82           1478.73536544983          0.0000597469919191679                      
      3.83           1453.21120611629          0.0000556836433755803                      
      3.84           1429.58999005946          0.0000518974888976751                      
      3.85           1406.37784212697          0.0000483685306479197                      
      3.86           1411.87469084662          0.0000450802419560440                      
      3.87           1428.83435479988          0.0000420154188539980                      
      3.88           1942.34882220538          0.0000391591982678134                      
      3.89           1341.04261602246          0.0000364975104624064                      
       3.9           6466.59339454975          0.0000340168233784448                      
      3.91            1275.3021156615          0.0000317048712791885                      
      3.92             1254.772489908          0.0000295502030254315                      
      3.93           1234.58893958441          0.0000275421311034198                      
      3.94            1214.7449396599          0.0000256706822139585                      
      3.95           1195.23431136831          0.0000239265514165101                      
      3.96           1176.05099372258          0.0000223010597487740                      
      3.97           1157.18905948272          0.0000207861132445520                      
      3.98           1138.64270664467          0.0000193741643206149                      
      3.99            1120.4062439957          0.0000180581776650482                      
         4           1102.47410462373          0.0000168315946854033                      
      4.01           1084.84042103684          0.0000156885585653896                      
      4.02           1067.50108902982          0.0000146231755335203                      
      4.03            1050.4498309423          0.0000136301469399163                      
      4.04           1033.70418652142          0.0000127047201080045                      
      4.05           1017.21062583001          0.0000118420814605755                      
      4.06           1000.97415910335          0.0000110381561356953                      
      4.07           985.035963264745          0.0000102888171405161                      
      4.08           969.363718782476          0.0000095903618164370                      
      4.09             954.0091280203          0.0000089394342938399                      
       4.1           940.167272161884         0.00000833272755126475                      
      4.11            923.82802656229         0.00000776718755748319                      
      4.12           909.210590642748         0.00000724008089950083                      
      4.13           897.245301285938         0.00000674875493294410                      
      4.14           883.011102530717         0.00000629084246549903                      
      4.15           872.118928764678         0.00000586401043257055                      
      4.16           855.238590534564         0.00000546617706179546                      
      4.17            841.69227161139         0.00000509534286861176                      
      4.18           828.368208835321         0.00000474972056179073                      
      4.19            815.26130373476         0.00000442754829067050                      
       4.2           802.369057403725         0.00000412725720498437                      
      4.21           789.686555058634         0.00000384732716790590                      
      4.22           777.211397625647         0.00000358639492104857                      
      4.23           764.938847497422         0.00000334320646012383                      
      4.24             752.8666031048         0.00000311651461211477                      
      4.25           744.645670583413         0.00000290518020082065                      
      4.26           729.306547702781         0.00000270822220092013                      
      4.27           717.813230894847         0.00000252460119195872                      
      4.28           706.505811304807         0.00000235346937048581                      
      4.29           695.382208253387         0.00000219392307314486                      
       4.3           684.438245189473         0.00000204522191291457                      
      4.31           673.671914914037         0.00000190660142709290                      
      4.32           663.079199814167         0.00000177736906845623                      
      4.33           652.658163295817         0.00000165693015760362                      
      4.34           642.404926973344         0.00000154464564976392                      
      4.35           632.317631587426         0.00000143997627825611                      
      4.36            622.39253388464         0.00000134239835868144                      
      4.37           612.627842026156         0.00000125145004236213                      
