#XLO XHI SOURCE
0.3 0.31 0
0.31 0.32 0
0.32 0.33 0
0.33 0.34 0
0.34 0.35 0
0.35 0.36 0
0.36 0.37 0
0.37 0.38 0
0.38 0.39 0
0.39 0.4 0
0.4 0.41 0
0.41 0.42 0
0.42 0.43 0
0.43 0.44 0
0.44 0.45 0
0.45 0.46 0
0.46 0.47 0
0.47 0.48 0
0.48 0.49 0
0.49 0.5 0
0.5 0.51 0
0.51 0.52 0
0.52 0.53 0
0.53 0.54 0
0.54 0.55 0
0.55 0.56 0
0.56 0.57 0
0.57 0.58 0
0.58 0.59 0
0.59 0.6 0
0.6 0.61 0
0.61 0.62 0
0.62 0.63 0
0.63 0.64 0
0.64 0.65 0
0.65 0.66 0
0.66 0.67 0
0.67 0.68 0
0.68 0.69 0
0.69 0.7 2.98808e-22
0.7 0.71 9.91161e-22
0.71 0.72 0
0.72 0.73 5.50145e-22
0.73 0.74 3.88772e-21
0.74 0.75 2.15594e-20
0.75 0.76 1.08416e-19
0.76 0.77 4.97733e-19
0.77 0.78 2.09906e-18
0.78 0.79 8.17831e-18
0.79 0.8 2.9593e-17
0.8 0.81 9.99331e-17
0.81 0.82 3.16349e-16
0.82 0.83 9.42674e-16
0.83 0.84 2.65439e-15
0.84 0.85 7.08785e-15
0.85 0.86 1.8007e-14
0.86 0.87 2.58106e-14
0.87 0.88 1.00438e-15
0.88 0.89 2.8097e-15
0.89 0.9 7.54409e-15
0.9 0.91 1.94825e-14
0.91 0.92 4.84849e-14
0.92 0.93 1.16489e-13
0.93 0.94 2.70666e-13
0.94 0.95 6.09176e-13
0.95 0.96 1.33008e-12
0.96 0.97 2.82139e-12
0.97 0.98 5.82213e-12
0.98 0.99 1.17027e-11
0.99 1 2.29405e-11
1 1.01 4.39061e-11
1.01 1.02 8.21336e-11
1.02 1.03 1.50324e-10
1.03 1.04 2.69446e-10
1.04 1.05 4.73415e-10
1.05 1.06 8.1605e-10
1.06 1.07 1.38119e-09
1.07 1.08 2.29713e-09
1.08 1.09 3.75694e-09
1.09 1.1 6.0465e-09
1.1 1.11 9.58257e-09
1.11 1.12 1.49638e-08
1.12 1.13 2.30383e-08
1.13 1.14 3.49903e-08
1.14 1.15 5.24533e-08
1.15 1.16 7.76515e-08
1.16 1.17 1.13578e-07
1.17 1.18 1.64212e-07
1.18 1.19 2.34791e-07
1.19 1.2 3.32128e-07
1.2 1.21 4.65001e-07
1.21 1.22 6.44607e-07
1.22 1.23 8.85095e-07
1.23 1.24 1.20418e-06
1.24 1.25 1.62386e-06
1.25 1.26 2.1712e-06
1.26 1.27 2.87924e-06
1.27 1.28 3.78802e-06
1.28 1.29 4.94567e-06
1.29 1.3 6.40964e-06
1.3 1.31 4.80597e-06
1.31 1.32 4.54839e-06
1.32 1.33 5.83334e-06
1.33 1.34 7.43123e-06
1.34 1.35 9.40564e-06
1.35 1.36 1.18303e-05
1.36 1.37 1.47901e-05
1.37 1.38 1.83827e-05
1.38 1.39 2.27191e-05
1.39 1.4 2.79253e-05
1.4 1.41 3.41434e-05
1.41 1.42 4.15331e-05
1.42 1.43 5.02726e-05
1.43 1.44 6.05602e-05
1.44 1.45 7.26153e-05
1.45 1.46 8.66798e-05
1.46 1.47 0.000103019
1.47 1.48 0.000121923
1.48 1.49 0.000143709
1.49 1.5 0.000168717
1.5 1.51 0.000197319
1.51 1.52 0.000229912
1.52 1.53 0.000266924
1.53 1.54 0.000308811
1.54 1.55 0.000356061
1.55 1.56 0.000409189
1.56 1.57 0.000468743
1.57 1.58 0.000535299
1.58 1.59 0.000609465
1.59 1.6 0.000691877
1.6 1.61 0.000783203
1.61 1.62 0.000884136
1.62 1.63 0.000995402
1.63 1.64 0.00111775
1.64 1.65 0.00125196
1.65 1.66 0.00139882
1.66 1.67 0.00155917
1.67 1.68 0.00173386
1.68 1.69 0.00192375
1.69 1.7 0.00212973
1.7 1.71 0.0023527
1.71 1.72 0.0025936
1.72 1.73 0.00285334
1.73 1.74 0.00313289
1.74 1.75 0.00343321
1.75 1.76 0.00375525
1.76 1.77 0.00410001
1.77 1.78 0.00446844
1.78 1.79 0.00486153
1.79 1.8 0.00528026
1.8 1.81 0.00572562
1.81 1.82 0.00619859
1.82 1.83 0.00670012
1.83 1.84 0.00723117
1.84 1.85 0.00460213
1.85 1.86 0.0049854
1.86 1.87 0.00539204
1.87 1.88 0.00582286
1.88 1.89 0.00627863
1.89 1.9 0.00676015
1.9 1.91 0.00726819
1.91 1.92 0.0078035
1.92 1.93 0.00836684
1.93 1.94 0.00895893
1.94 1.95 0.00958049
1.95 1.96 0.0102322
1.96 1.97 0.0109147
1.97 1.98 0.0116288
1.98 1.99 0.012375
1.99 2 0.0131539
2 2.01 0.0139661
2.01 2.02 0.0148123
2.02 2.03 0.0156929
2.03 2.04 0.0166085
2.04 2.05 0.0175595
2.05 2.06 0.0185465
2.06 2.07 0.0195698
2.07 2.08 0.0206298
2.08 2.09 0.021727
2.09 2.1 0.0228617
2.1 2.11 0.0240343
2.11 2.12 0.0252449
2.12 2.13 0.026494
2.13 2.14 0.0277817
2.14 2.15 0.0291082
2.15 2.16 0.0304737
2.16 2.17 0.0318784
2.17 2.18 0.0333224
2.18 2.19 0.0348058
2.19 2.2 0.0363287
2.2 2.21 0.037891
2.21 2.22 0.0394929
2.22 2.23 0.0411343
2.23 2.24 0.0428151
2.24 2.25 0.0445354
2.25 2.26 0.0462949
2.26 2.27 0.0480937
2.27 2.28 0.0499315
2.28 2.29 0.0518082
2.29 2.3 0.0537235
2.3 2.31 0.0556775
2.31 2.32 0.0576696
2.32 2.33 0.0596998
2.33 2.34 0.0617678
2.34 2.35 0.0638732
2.35 2.36 0.0660157
2.36 2.37 0.0681951
2.37 2.38 0.0704109
2.38 2.39 0.0726628
2.39 2.4 0.0749505
2.4 2.41 0.0772734
2.41 2.42 0.0796313
2.42 2.43 0.0820237
2.43 2.44 0.0844501
2.44 2.45 0.0869101
2.45 2.46 0.0894032
2.46 2.47 0.0919291
2.47 2.48 0.0786183
2.48 2.49 0.0791817
2.49 2.5 0.081525
2.5 2.51 0.0838996
2.51 2.52 0.086305
2.52 2.53 0.0887405
2.53 2.54 0.0912057
2.54 2.55 0.0937
2.55 2.56 0.0962229
2.56 2.57 0.0987738
2.57 2.58 0.101352
2.58 2.59 0.103957
2.59 2.6 0.106589
2.6 2.61 0.109246
2.61 2.62 0.111929
2.62 2.63 0.114636
2.63 2.64 0.117367
2.64 2.65 0.120121
2.65 2.66 0.122898
2.66 2.67 0.125698
2.67 2.68 0.128519
2.68 2.69 0.13136
2.69 2.7 0.134223
2.7 2.71 0.137105
2.71 2.72 0.140006
2.72 2.73 0.142926
2.73 2.74 0.145864
2.74 2.75 0.148819
2.75 2.76 0.151791
2.76 2.77 0.154779
2.77 2.78 0.157783
2.78 2.79 0.160802
2.79 2.8 0.163836
2.8 2.81 0.166883
2.81 2.82 0.169944
2.82 2.83 0.173018
2.83 2.84 0.176103
2.84 2.85 0.179201
2.85 2.86 0.18231
2.86 2.87 0.185429
2.87 2.88 0.188558
2.88 2.89 0.191697
2.89 2.9 0.194845
2.9 2.91 0.198001
2.91 2.92 0.201165
2.92 2.93 0.204337
2.93 2.94 0.207516
2.94 2.95 0.210701
2.95 2.96 0.213892
2.96 2.97 0.217089
2.97 2.98 0.22029
2.98 2.99 0.223497
2.99 3 0.226707
3 3.01 0.229921
3.01 3.02 0.233138
3.02 3.03 0.236358
3.03 3.04 0.239581
3.04 3.05 0.242805
3.05 3.06 0.246031
3.06 3.07 0.249258
3.07 3.08 0.252486
3.08 3.09 0.255714
3.09 3.1 0.258942
3.1 3.11 0.26217
3.11 3.12 0.265397
3.12 3.13 0.268623
3.13 3.14 0.271847
3.14 3.15 0.275069
3.15 3.16 0.278289
3.16 3.17 0.281507
3.17 3.18 0.284722
3.18 3.19 0.287933
3.19 3.2 0.291141
3.2 3.21 0.294346
3.21 3.22 0.28916
3.22 3.23 0.292344
3.23 3.24 0.295523
3.24 3.25 0.298699
3.25 3.26 0.30187
3.26 3.27 0.305036
3.27 3.28 0.308197
3.28 3.29 0.311353
3.29 3.3 0.314504
3.3 3.31 0.317649
3.31 3.32 0.320788
3.32 3.33 0.323921
3.33 3.34 0.327048
3.34 3.35 0.330167
3.35 3.36 0.33328
3.36 3.37 0.336386
3.37 3.38 0.339485
3.38 3.39 0.342576
3.39 3.4 0.345659
3.4 3.41 0.348735
3.41 3.42 0.351802
3.42 3.43 0.354862
3.43 3.44 0.357913
3.44 3.45 0.360955
3.45 3.46 0.363988
3.46 3.47 0.367013
3.47 3.48 0.370028
3.48 3.49 0.373035
3.49 3.5 0.376032
3.5 3.51 0.379019
3.51 3.52 0.381997
3.52 3.53 0.384965
3.53 3.54 0.387923
3.54 3.55 0.390872
3.55 3.56 0.39381
3.56 3.57 0.396738
3.57 3.58 0.399655
3.58 3.59 0.402562
3.59 3.6 0.405459
3.6 3.61 0.408345
3.61 3.62 0.41122
3.62 3.63 0.414084
3.63 3.64 0.416938
3.64 3.65 0.41978
3.65 3.66 0.422611
3.66 3.67 0.425432
3.67 3.68 0.428241
3.68 3.69 0.431038
3.69 3.7 0.433825
3.7 3.71 0.4366
3.71 3.72 0.439363
3.72 3.73 0.442115
3.73 3.74 0.444855
3.74 3.75 0.447584
3.75 3.76 0.450301
3.76 3.77 0.453007
3.77 3.78 0.4557
3.78 3.79 0.458382
3.79 3.8 0.461052
3.8 3.81 0.46371
3.81 3.82 0.466357
3.82 3.83 0.468991
3.83 3.84 0.471614
3.84 3.85 0.474224
3.85 3.86 0.476823
3.86 3.87 0.479409
3.87 3.88 0.481984
3.88 3.89 0.484546
3.89 3.9 0.487097
3.9 3.91 0.489635
3.91 3.92 0.492161
3.92 3.93 0.494676
3.93 3.94 0.497178
3.94 3.95 0.499668
3.95 3.96 0.502146
3.96 3.97 0.504612
3.97 3.98 0.507066
3.98 3.99 0.509508
3.99 4 0.511938
4 4.01 0.514356
4.01 4.02 0.516761
4.02 4.03 0.519155
4.03 4.04 0.520165
4.04 4.05 0.517126
4.05 4.06 0.51962
4.06 4.07 0.522102
4.07 4.08 0.524571
4.08 4.09 0.527027
4.09 4.1 0.529471
4.1 4.11 0.531903
4.11 4.12 0.534322
4.12 4.13 0.536728
4.13 4.14 0.539122
4.14 4.15 0.541503
4.15 4.16 0.543872
4.16 4.17 0.546228
4.17 4.18 0.548572
4.18 4.19 0.550903
4.19 4.2 0.553223
4.2 4.21 0.555529
4.21 4.22 0.557824
4.22 4.23 0.560106
4.23 4.24 0.562376
4.24 4.25 0.564633
4.25 4.26 0.566879
4.26 4.27 0.569112
4.27 4.28 0.571333
4.28 4.29 0.573542
4.29 4.3 0.575739
4.3 4.31 0.577924
4.31 4.32 0.580097
4.32 4.33 0.582258
4.33 4.34 0.584407
4.34 4.35 0.586544
4.35 4.36 0.588669
4.36 4.37 0.590782
4.37 4.38 0.592884
4.38 4.39 0.594974
4.39 4.4 0.597052
4.4 4.41 0.599119
4.41 4.42 0.601174
4.42 4.43 0.603217
4.43 4.44 0.605249
4.44 4.45 0.60727
4.45 4.46 0.609279
4.46 4.47 0.611277
4.47 4.48 0.613263
4.48 4.49 0.615238
4.49 4.5 0.617202
4.5 4.51 0.619155
4.51 4.52 0.621096
4.52 4.53 0.623027
4.53 4.54 0.624946
4.54 4.55 0.626855
4.55 4.56 0.628752
4.56 4.57 0.630639
4.57 4.58 0.632514
4.58 4.59 0.634379
4.59 4.6 0.636234
4.6 4.61 0.638077
4.61 4.62 0.63991
4.62 4.63 0.641732
4.63 4.64 0.643544
4.64 4.65 0.645345
4.65 4.66 0.647136
4.66 4.67 0.648917
4.67 4.68 0.650687
4.68 4.69 0.652447
4.69 4.7 0.654196
4.7 4.71 0.655936
4.71 4.72 0.657665
4.72 4.73 0.659384
4.73 4.74 0.661093
4.74 4.75 0.662792
4.75 4.76 0.664482
4.76 4.77 0.666161
4.77 4.78 0.667831
4.78 4.79 0.669491
4.79 4.8 0.671141
4.8 4.81 0.672781
4.81 4.82 0.674412
4.82 4.83 0.676033
4.83 4.84 0.677645
4.84 4.85 0.679248
4.85 4.86 0.68084
4.86 4.87 0.682424
4.87 4.88 0.683998
4.88 4.89 0.685563
4.89 4.9 0.687119
4.9 4.91 0.688666
4.91 4.92 0.690204
