#XLO XHI SOURCE
0.3 0.31 2.68015e-13
0.31 0.32 3.35931e-12
0.32 0.33 3.15728e-11
0.33 0.34 2.317e-10
0.34 0.35 1.37302e-09
0.35 0.36 6.75721e-09
0.36 0.37 2.82792e-08
0.37 0.38 1.02681e-07
0.38 0.39 3.29058e-07
0.39 0.4 9.44473e-07
0.4 0.41 1.4404e-06
0.41 0.42 3.55808e-06
0.42 0.43 8.12498e-06
0.43 0.44 1.7295e-05
0.44 0.45 3.45684e-05
0.45 0.46 6.52962e-05
0.46 0.47 0.000117218
0.47 0.48 0.000200988
0.48 0.49 0.000330621
0.49 0.5 0.000523813
0.5 0.51 0.000802086
0.51 0.52 0.00119072
0.52 0.53 0.00171851
0.53 0.54 0.000450708
0.54 0.55 6.36487e-05
0.55 0.56 0.000101327
0.56 0.57 0.000156572
0.57 0.58 0.000235391
0.58 0.59 0.000345055
0.59 0.6 0.000494156
0.6 0.61 0.000692605
0.61 0.62 0.000951603
0.62 0.63 0.00128355
0.63 0.64 0.00170193
0.64 0.65 0.00222113
0.65 0.66 0.00285624
0.66 0.67 0.00362287
0.67 0.68 0.00453684
0.68 0.69 0.00561403
0.69 0.7 0.00687005
0.7 0.71 0.00722349
0.71 0.72 0.0060104
0.72 0.73 0.00732028
0.73 0.74 0.00881172
0.74 0.75 0.0104922
0.75 0.76 0.0123674
0.76 0.77 0.0144412
0.77 0.78 0.0167157
0.78 0.79 0.019191
0.79 0.8 0.0218659
0.8 0.81 0.0247371
0.81 0.82 0.0278002
0.82 0.83 0.0310493
0.83 0.84 0.0344775
0.84 0.85 0.0380768
0.85 0.86 0.0418383
0.86 0.87 0.0403406
0.87 0.88 0.031258
0.88 0.89 0.0346764
0.89 0.9 0.0383083
0.9 0.91 0.0421532
0.91 0.92 0.0462097
0.92 0.93 0.0504758
0.93 0.94 0.0549485
0.94 0.95 0.0596245
0.95 0.96 0.0644996
0.96 0.97 0.0695691
0.97 0.98 0.074828
0.98 0.99 0.0802703
0.99 1 0.0858903
1 1.01 0.0916815
1.01 1.02 0.0976373
1.02 1.03 0.103751
1.03 1.04 0.110014
1.04 1.05 0.116421
1.05 1.06 0.122964
1.06 1.07 0.129635
1.07 1.08 0.136427
1.08 1.09 0.143332
1.09 1.1 0.150343
1.1 1.11 0.157452
1.11 1.12 0.164652
1.12 1.13 0.171936
1.13 1.14 0.179296
1.14 1.15 0.186725
1.15 1.16 0.194217
1.16 1.17 0.201765
1.17 1.18 0.209362
1.18 1.19 0.217001
1.19 1.2 0.224678
1.2 1.21 0.232385
1.21 1.22 0.240117
1.22 1.23 0.247869
1.23 1.24 0.255635
1.24 1.25 0.263409
1.25 1.26 0.271187
1.26 1.27 0.278965
1.27 1.28 0.286737
1.28 1.29 0.2945
1.29 1.3 0.302248
1.3 1.31 0.292233
1.31 1.32 0.292062
1.32 1.33 0.299431
1.33 1.34 0.30678
1.34 1.35 0.314105
1.35 1.36 0.321402
1.36 1.37 0.32867
1.37 1.38 0.335905
1.38 1.39 0.343104
1.39 1.4 0.350265
1.4 1.41 0.357386
1.41 1.42 0.364466
1.42 1.43 0.3715
1.43 1.44 0.378489
1.44 1.45 0.38543
1.45 1.46 0.392322
1.46 1.47 0.399162
1.47 1.48 0.405951
1.48 1.49 0.412686
1.49 1.5 0.419366
1.5 1.51 0.42599
1.51 1.52 0.432558
1.52 1.53 0.439069
1.53 1.54 0.445521
1.54 1.55 0.451914
1.55 1.56 0.458247
1.56 1.57 0.464521
1.57 1.58 0.470734
1.58 1.59 0.476886
1.59 1.6 0.482977
1.6 1.61 0.489006
1.61 1.62 0.494973
1.62 1.63 0.500879
1.63 1.64 0.506723
1.64 1.65 0.512504
1.65 1.66 0.518224
1.66 1.67 0.523882
1.67 1.68 0.529477
1.68 1.69 0.535012
1.69 1.7 0.540484
1.7 1.71 0.545895
1.71 1.72 0.551245
1.72 1.73 0.556534
1.73 1.74 0.561763
1.74 1.75 0.566931
1.75 1.76 0.572039
1.76 1.77 0.577087
1.77 1.78 0.582077
1.78 1.79 0.587007
1.79 1.8 0.591879
1.8 1.81 0.596693
1.81 1.82 0.601449
1.82 1.83 0.606149
1.83 1.84 0.610791
1.84 1.85 0.5838
1.85 1.86 0.58849
1.86 1.87 0.593125
1.87 1.88 0.597703
1.88 1.89 0.602226
1.89 1.9 0.606694
1.9 1.91 0.611107
1.91 1.92 0.615467
1.92 1.93 0.619773
1.93 1.94 0.624027
1.94 1.95 0.628228
1.95 1.96 0.632377
1.96 1.97 0.636475
1.97 1.98 0.640522
1.98 1.99 0.644519
1.99 2 0.648466
2 2.01 0.652365
2.01 2.02 0.656214
2.02 2.03 0.660016
2.03 2.04 0.66377
2.04 2.05 0.667477
2.05 2.06 0.671138
2.06 2.07 0.674753
2.07 2.08 0.678322
2.08 2.09 0.681847
2.09 2.1 0.685328
2.1 2.11 0.688765
2.11 2.12 0.692159
2.12 2.13 0.69551
2.13 2.14 0.69882
2.14 2.15 0.702087
2.15 2.16 0.705314
2.16 2.17 0.7085
2.17 2.18 0.711646
2.18 2.19 0.714753
2.19 2.2 0.717821
2.2 2.21 0.72085
2.21 2.22 0.723842
2.22 2.23 0.726796
2.23 2.24 0.729713
2.24 2.25 0.732593
2.25 2.26 0.735438
2.26 2.27 0.738247
2.27 2.28 0.741021
2.28 2.29 0.743761
2.29 2.3 0.746466
2.3 2.31 0.749138
2.31 2.32 0.751777
2.32 2.33 0.754382
2.33 2.34 0.756956
2.34 2.35 0.759498
2.35 2.36 0.762008
2.36 2.37 0.764487
2.37 2.38 0.766936
2.38 2.39 0.769354
2.39 2.4 0.771743
2.4 2.41 0.774103
2.41 2.42 0.776433
2.42 2.43 0.778735
2.43 2.44 0.781009
2.44 2.45 0.783255
2.45 2.46 0.785473
2.46 2.47 0.787665
2.47 2.48 0.775319
2.48 2.49 0.775994
2.49 2.5 0.778261
2.5 2.51 0.780498
2.51 2.52 0.782708
2.52 2.53 0.784889
2.53 2.54 0.787043
2.54 2.55 0.78917
2.55 2.56 0.79127
2.56 2.57 0.793343
2.57 2.58 0.79539
2.58 2.59 0.797411
2.59 2.6 0.799408
2.6 2.61 0.801379
2.61 2.62 0.803325
2.62 2.63 0.805247
2.63 2.64 0.807146
2.64 2.65 0.80902
2.65 2.66 0.810872
2.66 2.67 0.8127
2.67 2.68 0.814506
2.68 2.69 0.816289
2.69 2.7 0.818051
2.7 2.71 0.819791
2.71 2.72 0.821509
2.72 2.73 0.823207
2.73 2.74 0.824884
2.74 2.75 0.82654
2.75 2.76 0.828176
2.76 2.77 0.829792
2.77 2.78 0.831389
2.78 2.79 0.832967
2.79 2.8 0.834525
2.8 2.81 0.836064
2.81 2.82 0.837585
2.82 2.83 0.839088
2.83 2.84 0.840573
2.84 2.85 0.84204
2.85 2.86 0.843489
